,PARTIDO,NUM_VOTOS,PORCENTAJE
5964,AEEV,2,",44345898004434589800443458980044345898"
2751,AEEV,1,",2207505518763796909492273730684326710817"
3788,AEEV,1,",3436426116838487972508591065292096219931"
5403,AEEV,1,",2347417840375586854460093896713615023474"
2734,AEEV,1,",1769911504424778761061946902654867256637"
813,AEEV,1,",2347417840375586854460093896713615023474"
2836,AEEV,0,0
3720,AEEV,3,",5119453924914675767918088737201365187713"
2717,AEEV,1,",1968503937007874015748031496062992125984"
3686,AEEV,2,",5494505494505494505494505494505494505495"
1085,AEEV,2,",6060606060606060606060606060606060606061"
2615,AEEV,4,",9708737864077669902912621359223300970874"
439,AEEV,0,0
5352,AEEV,0,0
2921,AEEV,1,",303030303030303030303030303030303030303"
3975,AEEV,6,"1,54639175257731958762886597938144329897"
2496,AEEV,1,",3267973856209150326797385620915032679739"
3652,AEEV,0,0
2479,AEEV,3,",5535055350553505535055350553505535055351"
915,AEEV,3,",8021390374331550802139037433155080213904"
2938,AEEV,1,",2551020408163265306122448979591836734694"
2462,AEEV,1,",273972602739726027397260273972602739726"
5471,AEEV,1,",2202643171806167400881057268722466960352"
320,AEEV,1,",2024291497975708502024291497975708502024"
5046,AEEV,6,"1,10905730129390018484288354898336414048"
456,AEEV,0,0
2445,AEEV,0,0
4009,AEEV,3,",5617977528089887640449438202247191011236"
5488,AEEV,3,",5444646098003629764065335753176043557169"
5148,AEEV,2,",3766478342749529190207156308851224105461"
2428,AEEV,2,",5434782608695652173913043478260869565217"
4026,AEEV,2,",3944773175542406311637080867850098619329"
932,AEEV,1,",2409638554216867469879518072289156626506"
3992,AEEV,2,",5063291139240506329113924050632911392405"
2513,AEEV,1,",3225806451612903225806451612903225806452"
3958,AEEV,2,",3766478342749529190207156308851224105461"
898,AEEV,1,",3215434083601286173633440514469453376206"
2870,AEEV,2,",6993006993006993006993006993006993006993"
6083,AEEV,0,0
864,AEEV,3,",5033557046979865771812080536912751677852"
2598,AEEV,2,",4405286343612334801762114537444933920705"
3907,AEEV,1,",2057613168724279835390946502057613168724"
354,AEEV,0,0
2887,AEEV,0,0
2581,AEEV,0,0
2564,AEEV,6,"1,10905730129390018484288354898336414048"
5454,AEEV,0,0
3924,AEEV,1,",2008032128514056224899598393574297188755"
881,AEEV,0,0
745,AEEV,0,0
2547,AEEV,2,",3584229390681003584229390681003584229391"
2904,AEEV,0,0
3669,AEEV,0,0
5063,AEEV,2,",3565062388591800356506238859180035650624"
2530,AEEV,5,",8547008547008547008547008547008547008547"
3941,AEEV,2,",3929273084479371316306483300589390962672"
337,AEEV,1,",3076923076923076923076923076923076923077"
5930,AEEV,3,",6024096385542168674698795180722891566265"
3890,AEEV,1,",3225806451612903225806451612903225806452"
4315,AEEV,2,",5509641873278236914600550964187327823691"
677,AEEV,1,",3367003367003367003367003367003367003367"
5607,AEEV,1,",1795332136445242369838420107719928186715"
4604,AEEV,4,",8298755186721991701244813278008298755187"
3244,AEEV,1,",2087682672233820459290187891440501043841"
1629,AEEV,2,",408163265306122448979591836734693877551"
4621,AEEV,2,",3584229390681003584229390681003584229391"
1612,AEEV,0,0
5726,AEEV,1,",2150537634408602150537634408602150537634"
5828,AEEV,1,",4761904761904761904761904761904761904762"
1255,AEEV,5,"1,05042016806722689075630252100840336134"
609,AEEV,2,",4555808656036446469248291571753986332574"
1646,AEEV,0,0
3261,AEEV,1,",2028397565922920892494929006085192697769"
4638,AEEV,1,",2386634844868735083532219570405727923628"
3414,AEEV,3,",7109004739336492890995260663507109004739"
65,AEEV,1,",2092050209205020920502092050209205020921"
6168,AEEV,2,",3787878787878787878787878787878787878788"
1578,AEEV,3,",5272407732864674868189806678383128295255"
4859,AEEV,2,",6153846153846153846153846153846153846154"
4655,AEEV,1,",2212389380530973451327433628318584070796"
1561,AEEV,1,",2057613168724279835390946502057613168724"
1272,AEEV,2,",6172839506172839506172839506172839506173"
1595,AEEV,1,",1798561151079136690647482014388489208633"
4672,AEEV,1,",2762430939226519337016574585635359116022"
82,AEEV,4,",7874015748031496062992125984251968503937"
3431,AEEV,3,",6369426751592356687898089171974522292994"
1731,AEEV,1,",2865329512893982808022922636103151862464"
5692,AEEV,0,0
3448,AEEV,7,"1,77215189873417721518987341772151898734"
626,AEEV,1,",2159827213822894168466522678185745140389"
1714,AEEV,3,",8645533141210374639769452449567723342939"
3210,AEEV,2,",5714285714285714285714285714285714285714"
4553,AEEV,1,",2369668246445497630331753554502369668246"
99,AEEV,1,",153139356814701378254211332312404287902"
1697,AEEV,2,",5012531328320802005012531328320802005013"
1238,AEEV,3,",6302521008403361344537815126050420168067"
2037,AEEV,1,",2583979328165374677002583979328165374677"
4570,AEEV,1,",3194888178913738019169329073482428115016"
1680,AEEV,3,",7518796992481203007518796992481203007519"
3227,AEEV,0,0
5709,AEEV,0,0
6032,AEEV,0,0
1663,AEEV,1,",2688172043010752688172043010752688172043"
4587,AEEV,1,",2770083102493074792243767313019390581717"
541,AEEV,1,",2450980392156862745098039215686274509804"
4876,AEEV,1,",1727115716753022452504317789291882556131"
5267,AEEV,1,",2898550724637681159420289855072463768116"
5743,AEEV,2,",3816793893129770992366412213740458015267"
3278,AEEV,1,",2222222222222222222222222222222222222222"
5216,AEEV,2,",3992015968063872255489021956087824351297"
1442,AEEV,1,",2016129032258064516129032258064516129032"
5777,AEEV,1,",3597122302158273381294964028776978417266"
4757,AEEV,2,",4347826086956521739130434782608695652174"
1323,AEEV,0,0
1425,AEEV,5,"1,05042016806722689075630252100840336134"
3363,AEEV,4,",6329113924050632911392405063291139240506"
4825,AEEV,2,",4640371229698375870069605568445475638051"
14,AEEV,0,0
4774,AEEV,1,",2012072434607645875251509054325955734406"
3312,AEEV,1,",184501845018450184501845018450184501845"
1408,AEEV,0,0
4791,AEEV,1,",1865671641791044776119402985074626865672"
1340,AEEV,3,",8928571428571428571428571428571428571429"
3329,AEEV,2,",3284072249589490968801313628899835796388"
1374,AEEV,1,",2631578947368421052631578947368421052632"
575,AEEV,3,",7299270072992700729927007299270072992701"
4808,AEEV,3,",7537688442211055276381909547738693467337"
5794,AEEV,2,",8196721311475409836065573770491803278689"
6185,AEEV,1,",1712328767123287671232876712328767123288"
3346,AEEV,3,",5050505050505050505050505050505050505051"
1391,AEEV,0,0
1459,AEEV,1,",1592356687898089171974522292993630573248"
4740,AEEV,2,",3220611916264090177133655394524959742351"
5811,AEEV,2,",8547008547008547008547008547008547008547"
1544,AEEV,2,",3944773175542406311637080867850098619329"
3397,AEEV,4,"1,01265822784810126582278481012658227848"
5250,AEEV,2,",4975124378109452736318407960199004975124"
4689,AEEV,1,",2141327623126338329764453961456102783726"
48,AEEV,2,",3407155025553662691652470187393526405451"
1527,AEEV,1,",1700680272108843537414965986394557823129"
6015,AEEV,0,0
1289,AEEV,1,",3048780487804878048780487804878048780488"
1510,AEEV,2,",3164556962025316455696202531645569620253"
4706,AEEV,2,",3496503496503496503496503496503496503497"
4842,AEEV,0,0
558,AEEV,4,"1,2232415902140672782874617737003058104"
1493,AEEV,3,",5208333333333333333333333333333333333333"
5760,AEEV,3,",4552352048558421851289833080424886191199"
3295,AEEV,1,",2061855670103092783505154639175257731959"
1476,AEEV,0,0
1306,AEEV,2,",349040139616055846422338568935427574171"
4723,AEEV,2,",3913894324853228962818003913894324853229"
3380,AEEV,4,"1,01265822784810126582278481012658227848"
31,AEEV,3,",7371007371007371007371007371007371007371"
592,AEEV,1,",2272727272727272727272727272727272727273"
1204,AEEV,6,"1,3761467889908256880733944954128440367"
4536,AEEV,2,",5050505050505050505050505050505050505051"
1221,AEEV,0,0
4893,AEEV,0,0
1935,AEEV,0,0
3142,AEEV,2,",621118012422360248447204968944099378882"
1918,AEEV,2,",5050505050505050505050505050505050505051"
5862,AEEV,2,",4366812227074235807860262008733624454148"
4400,AEEV,1,",2832861189801699716713881019830028328612"
5641,AEEV,4,",881057268722466960352422907488986784141"
1136,AEEV,0,0
1901,AEEV,1,",2298850574712643678160919540229885057471"
3499,AEEV,2,",3629764065335753176043557168784029038113"
4927,AEEV,2,",5347593582887700534759358288770053475936"
4417,AEEV,0,0
