PARTIDO,NUM_VOTOS,PORCENTAJE
PUM J,1,",2801120448179271708683473389355742296919"
VOX,36,"10,08403361344537815126050420168067226891"
PUEDE,0,0
AEEV,2,",5602240896358543417366946778711484593838"
RC,0,0
SUMAR,50,"14,00560224089635854341736694677871148459"
Electores,640,100
Abstenciones,125,"19,53125"
Votantes,515,"80,46875"
Blancos,1,",1941747572815533980582524271844660194175"
Validos,513,"99,61165048543689320388349514563106796117"
Nulos,2,",388349514563106796116504854368932038835"
PSOE,92,"17,86407766990291262135922330097087378641"
FO,0,0
PP,282,"54,75728155339805825242718446601941747573"
PACMA,2,",388349514563106796116504854368932038835"
PCTE,0,0
PUM J,1,",1941747572815533980582524271844660194175"
VOX,71,"13,78640776699029126213592233009708737864"
PUEDE,1,",1941747572815533980582524271844660194175"
AEEV,2,",388349514563106796116504854368932038835"
RC,0,0
SUMAR,61,"11,84466019417475728155339805825242718447"
Electores,679,100
Abstenciones,111,"16,34756995581737849779086892488954344624"
Votantes,568,"83,65243004418262150220913107511045655376"
Blancos,6,"1,05633802816901408450704225352112676056"
Validos,566,"99,64788732394366197183098591549295774648"
Nulos,2,",3521126760563380281690140845070422535211"
PSOE,108,"19,01408450704225352112676056338028169014"
FO,0,0
PP,323,"56,86619718309859154929577464788732394366"
PACMA,1,",1760563380281690140845070422535211267606"
PCTE,0,0
PUM J,0,0
VOX,65,"11,44366197183098591549295774647887323944"
PUEDE,1,",1760563380281690140845070422535211267606"
AEEV,2,",3521126760563380281690140845070422535211"
RC,1,",1760563380281690140845070422535211267606"
SUMAR,59,"10,38732394366197183098591549295774647887"
Electores,673,100
Abstenciones,135,"20,05943536404160475482912332838038632987"
Votantes,538,"79,94056463595839524517087667161961367013"
Blancos,4,",7434944237918215613382899628252788104089"
Validos,534,"99,25650557620817843866171003717472118959"
Nulos,4,",7434944237918215613382899628252788104089"
PSOE,105,"19,51672862453531598513011152416356877323"
FO,0,0
PP,293,"54,46096654275092936802973977695167286245"
PACMA,2,",3717472118959107806691449814126394052045"
PCTE,1,",1858736059479553903345724907063197026022"
PUM J,1,",1858736059479553903345724907063197026022"
VOX,65,"12,08178438661710037174721189591078066914"
PUEDE,0,0
AEEV,1,",1858736059479553903345724907063197026022"
RC,0,0
SUMAR,62,"11,52416356877323420074349442379182156134"
Electores,794,100
Abstenciones,204,"25,69269521410579345088161209068010075567"
Votantes,590,"74,30730478589420654911838790931989924433"
Blancos,7,"1,18644067796610169491525423728813559322"
Validos,587,"99,49152542372881355932203389830508474576"
Nulos,3,",5084745762711864406779661016949152542373"
PSOE,147,"24,91525423728813559322033898305084745763"
FO,0,0
PP,288,"48,81355932203389830508474576271186440678"
PACMA,1,",1694915254237288135593220338983050847458"
PCTE,0,0
PUM J,0,0
VOX,63,"10,67796610169491525423728813559322033898"
PUEDE,1,",1694915254237288135593220338983050847458"
AEEV,1,",1694915254237288135593220338983050847458"
RC,2,",3389830508474576271186440677966101694915"
SUMAR,77,"13,05084745762711864406779661016949152542"
Electores,537,100
Abstenciones,126,"23,46368715083798882681564245810055865922"
Votantes,411,"76,53631284916201117318435754189944134078"
Blancos,3,",7299270072992700729927007299270072992701"
Validos,408,"99,27007299270072992700729927007299270073"
Nulos,3,",7299270072992700729927007299270072992701"
PSOE,128,"31,14355231143552311435523114355231143552"
FO,0,0
PP,143,"34,79318734793187347931873479318734793187"
PACMA,2,",48661800486618004866180048661800486618"
PCTE,0,0
PUM J,0,0
VOX,54,"13,13868613138686131386861313868613138686"
PUEDE,0,0
AEEV,2,",48661800486618004866180048661800486618"
RC,2,",48661800486618004866180048661800486618"
SUMAR,74,"18,00486618004866180048661800486618004866"
Electores,571,100
Abstenciones,129,"22,59194395796847635726795096322241681261"
Votantes,442,"77,40805604203152364273204903677758318739"
Blancos,2,",4524886877828054298642533936651583710407"
Validos,435,"98,41628959276018099547511312217194570136"
Nulos,7,"1,58371040723981900452488687782805429864"
PSOE,103,"23,3031674208144796380090497737556561086"
FO,2,",4524886877828054298642533936651583710407"
PP,196,"44,34389140271493212669683257918552036199"
PACMA,2,",4524886877828054298642533936651583710407"
PCTE,2,",4524886877828054298642533936651583710407"
PUM J,2,",4524886877828054298642533936651583710407"
VOX,61,"13,80090497737556561085972850678733031674"
PUEDE,1,",2262443438914027149321266968325791855204"
AEEV,2,",4524886877828054298642533936651583710407"
RC,0,0
SUMAR,62,"14,02714932126696832579185520361990950226"
Electores,720,100
Abstenciones,167,"23,19444444444444444444444444444444444444"
Votantes,553,"76,80555555555555555555555555555555555556"
Blancos,7,"1,2658227848101265822784810126582278481"
Validos,548,"99,09584086799276672694394213381555153707"
Nulos,5,",9041591320072332730560578661844484629295"
PSOE,133,"24,05063291139240506329113924050632911392"
FO,1,",1808318264014466546112115732368896925859"
PP,256,"46,29294755877034358047016274864376130199"
PACMA,2,",3616636528028933092224231464737793851718"
PCTE,0,0
PUM J,1,",1808318264014466546112115732368896925859"
VOX,66,"11,93490054249547920433996383363471971067"
PUEDE,0,0
AEEV,4,",7233273056057866184448462929475587703436"
RC,0,0
SUMAR,78,"14,1048824593128390596745027124773960217"
Electores,587,100
