PARTIDO,NUM_VOTOS,PORCENTAJE
AEEV,2,",44345898004434589800443458980044345898"
AEEV,1,",2207505518763796909492273730684326710817"
AEEV,1,",3436426116838487972508591065292096219931"
AEEV,1,",2347417840375586854460093896713615023474"
AEEV,1,",1769911504424778761061946902654867256637"
AEEV,1,",2347417840375586854460093896713615023474"
AEEV,0,0
AEEV,3,",5119453924914675767918088737201365187713"
AEEV,1,",1968503937007874015748031496062992125984"
AEEV,2,",5494505494505494505494505494505494505495"
AEEV,2,",6060606060606060606060606060606060606061"
AEEV,4,",9708737864077669902912621359223300970874"
AEEV,0,0
AEEV,0,0
AEEV,1,",303030303030303030303030303030303030303"
AEEV,6,"1,54639175257731958762886597938144329897"
AEEV,1,",3267973856209150326797385620915032679739"
AEEV,0,0
AEEV,3,",5535055350553505535055350553505535055351"
AEEV,3,",8021390374331550802139037433155080213904"
AEEV,1,",2551020408163265306122448979591836734694"
AEEV,1,",273972602739726027397260273972602739726"
AEEV,1,",2202643171806167400881057268722466960352"
AEEV,1,",2024291497975708502024291497975708502024"
AEEV,6,"1,10905730129390018484288354898336414048"
AEEV,0,0
AEEV,0,0
AEEV,3,",5617977528089887640449438202247191011236"
AEEV,3,",5444646098003629764065335753176043557169"
AEEV,2,",3766478342749529190207156308851224105461"
AEEV,2,",5434782608695652173913043478260869565217"
AEEV,2,",3944773175542406311637080867850098619329"
AEEV,1,",2409638554216867469879518072289156626506"
AEEV,2,",5063291139240506329113924050632911392405"
AEEV,1,",3225806451612903225806451612903225806452"
AEEV,2,",3766478342749529190207156308851224105461"
AEEV,1,",3215434083601286173633440514469453376206"
AEEV,2,",6993006993006993006993006993006993006993"
AEEV,0,0
AEEV,3,",5033557046979865771812080536912751677852"
AEEV,2,",4405286343612334801762114537444933920705"
AEEV,1,",2057613168724279835390946502057613168724"
AEEV,0,0
AEEV,0,0
AEEV,0,0
AEEV,6,"1,10905730129390018484288354898336414048"
AEEV,0,0
AEEV,1,",2008032128514056224899598393574297188755"
AEEV,0,0
AEEV,0,0
AEEV,2,",3584229390681003584229390681003584229391"
AEEV,0,0
AEEV,0,0
AEEV,2,",3565062388591800356506238859180035650624"
AEEV,5,",8547008547008547008547008547008547008547"
AEEV,2,",3929273084479371316306483300589390962672"
AEEV,1,",3076923076923076923076923076923076923077"
AEEV,3,",6024096385542168674698795180722891566265"
AEEV,1,",3225806451612903225806451612903225806452"
AEEV,2,",5509641873278236914600550964187327823691"
AEEV,1,",3367003367003367003367003367003367003367"
AEEV,1,",1795332136445242369838420107719928186715"
AEEV,4,",8298755186721991701244813278008298755187"
AEEV,1,",2087682672233820459290187891440501043841"
AEEV,2,",408163265306122448979591836734693877551"
AEEV,2,",3584229390681003584229390681003584229391"
AEEV,0,0
AEEV,1,",2150537634408602150537634408602150537634"
AEEV,1,",4761904761904761904761904761904761904762"
AEEV,5,"1,05042016806722689075630252100840336134"
AEEV,2,",4555808656036446469248291571753986332574"
AEEV,0,0
AEEV,1,",2028397565922920892494929006085192697769"
AEEV,1,",2386634844868735083532219570405727923628"
AEEV,3,",7109004739336492890995260663507109004739"
AEEV,1,",2092050209205020920502092050209205020921"
AEEV,2,",3787878787878787878787878787878787878788"
AEEV,3,",5272407732864674868189806678383128295255"
AEEV,2,",6153846153846153846153846153846153846154"
AEEV,1,",2212389380530973451327433628318584070796"
AEEV,1,",2057613168724279835390946502057613168724"
AEEV,2,",6172839506172839506172839506172839506173"
AEEV,1,",1798561151079136690647482014388489208633"
AEEV,1,",2762430939226519337016574585635359116022"
AEEV,4,",7874015748031496062992125984251968503937"
AEEV,3,",6369426751592356687898089171974522292994"
AEEV,1,",2865329512893982808022922636103151862464"
AEEV,0,0
AEEV,7,"1,77215189873417721518987341772151898734"
AEEV,1,",2159827213822894168466522678185745140389"
AEEV,3,",8645533141210374639769452449567723342939"
AEEV,2,",5714285714285714285714285714285714285714"
AEEV,1,",2369668246445497630331753554502369668246"
AEEV,1,",153139356814701378254211332312404287902"
AEEV,2,",5012531328320802005012531328320802005013"
AEEV,3,",6302521008403361344537815126050420168067"
AEEV,1,",2583979328165374677002583979328165374677"
AEEV,1,",3194888178913738019169329073482428115016"
AEEV,3,",7518796992481203007518796992481203007519"
AEEV,0,0
AEEV,0,0
AEEV,0,0
AEEV,1,",2688172043010752688172043010752688172043"
AEEV,1,",2770083102493074792243767313019390581717"
AEEV,1,",2450980392156862745098039215686274509804"
AEEV,1,",1727115716753022452504317789291882556131"
AEEV,1,",2898550724637681159420289855072463768116"
AEEV,2,",3816793893129770992366412213740458015267"
AEEV,1,",2222222222222222222222222222222222222222"
AEEV,2,",3992015968063872255489021956087824351297"
AEEV,1,",2016129032258064516129032258064516129032"
AEEV,1,",3597122302158273381294964028776978417266"
AEEV,2,",4347826086956521739130434782608695652174"
AEEV,0,0
AEEV,5,"1,05042016806722689075630252100840336134"
AEEV,4,",6329113924050632911392405063291139240506"
AEEV,2,",4640371229698375870069605568445475638051"
AEEV,0,0
AEEV,1,",2012072434607645875251509054325955734406"
AEEV,1,",184501845018450184501845018450184501845"
AEEV,0,0
AEEV,1,",1865671641791044776119402985074626865672"
AEEV,3,",8928571428571428571428571428571428571429"
AEEV,2,",3284072249589490968801313628899835796388"
AEEV,1,",2631578947368421052631578947368421052632"
AEEV,3,",7299270072992700729927007299270072992701"
AEEV,3,",7537688442211055276381909547738693467337"
AEEV,2,",8196721311475409836065573770491803278689"
AEEV,1,",1712328767123287671232876712328767123288"
AEEV,3,",5050505050505050505050505050505050505051"
AEEV,0,0
AEEV,1,",1592356687898089171974522292993630573248"
AEEV,2,",3220611916264090177133655394524959742351"
AEEV,2,",8547008547008547008547008547008547008547"
AEEV,2,",3944773175542406311637080867850098619329"
AEEV,4,"1,01265822784810126582278481012658227848"
AEEV,2,",4975124378109452736318407960199004975124"
AEEV,1,",2141327623126338329764453961456102783726"
AEEV,2,",3407155025553662691652470187393526405451"
AEEV,1,",1700680272108843537414965986394557823129"
AEEV,0,0
AEEV,1,",3048780487804878048780487804878048780488"
AEEV,2,",3164556962025316455696202531645569620253"
AEEV,2,",3496503496503496503496503496503496503497"
AEEV,0,0
AEEV,4,"1,2232415902140672782874617737003058104"
AEEV,3,",5208333333333333333333333333333333333333"
AEEV,3,",4552352048558421851289833080424886191199"
AEEV,1,",2061855670103092783505154639175257731959"
AEEV,0,0
AEEV,2,",349040139616055846422338568935427574171"
AEEV,2,",3913894324853228962818003913894324853229"
AEEV,4,"1,01265822784810126582278481012658227848"
AEEV,3,",7371007371007371007371007371007371007371"
AEEV,1,",2272727272727272727272727272727272727273"
AEEV,6,"1,3761467889908256880733944954128440367"
AEEV,2,",5050505050505050505050505050505050505051"
AEEV,0,0
AEEV,0,0
AEEV,0,0
AEEV,2,",621118012422360248447204968944099378882"
AEEV,2,",5050505050505050505050505050505050505051"
AEEV,2,",4366812227074235807860262008733624454148"
AEEV,1,",2832861189801699716713881019830028328612"
AEEV,4,",881057268722466960352422907488986784141"
AEEV,0,0
AEEV,1,",2298850574712643678160919540229885057471"
AEEV,2,",3629764065335753176043557168784029038113"
AEEV,2,",5347593582887700534759358288770053475936"
AEEV,0,0
AEEV,2,",5813953488372093023255813953488372093023"
AEEV,1,",2227171492204899777282850779510022271715"
AEEV,2,",6042296072507552870090634441087613293051"
AEEV,0,0
AEEV,0,0
AEEV,1,",2164502164502164502164502164502164502165"
AEEV,1,",3095975232198142414860681114551083591331"
AEEV,2,",4210526315789473684210526315789473684211"
AEEV,0,0
AEEV,2,",5602240896358543417366946778711484593838"
AEEV,1,",3021148036253776435045317220543806646526"
AEEV,0,0
AEEV,0,0
AEEV,4,",6568144499178981937602627257799671592775"
AEEV,5,"1,529051987767584097859327217125382263"
AEEV,0,0
AEEV,2,",3663003663003663003663003663003663003663"
AEEV,2,",3466204506065857885615251299826689774697"
AEEV,2,",44345898004434589800443458980044345898"
AEEV,2,",388349514563106796116504854368932038835"
AEEV,0,0
AEEV,0,0
AEEV,1,",2053388090349075975359342915811088295688"
AEEV,1,",1801801801801801801801801801801801801802"
AEEV,3,",558659217877094972067039106145251396648"
AEEV,3,",5758157389635316698656429942418426103647"
AEEV,0,0
